id,booking_status_pred,Probability
42100,0,0.078759275
42101,0,0.030232415
42102,0,0.31371507
42103,0,0.18745051
42104,1,0.60265595
42105,1,0.7007235
42106,0,0.48767442
42107,1,0.7548801
42108,0,2.8658576e-08
42109,1,0.52056974
42110,1,0.6658879
42111,0,0.21789591
42112,0,0.46561694
42113,0,0.24008183
42114,0,0.32232803
42115,1,0.72580254
42116,0,0.06993661
42117,0,0.23526461
42118,1,0.9046403
42119,1,0.89215755
42120,1,0.9174561
42121,0,0.27088404
42122,0,0.0086278925
42123,1,0.65516573
42124,1,0.8683552
42125,0,0.002574021
42126,0,2.0207283e-28
42127,0,0.017803816
42128,0,0.21723606
42129,1,0.61542857
42130,1,0.82905024
42131,0,0.39770505
42132,0,0.48421603
42133,1,0.95607054
42134,0,0.43588957
42135,0,1.893524e-14
42136,0,0.04504357
42137,0,0.46372736
42138,1,0.6318049
42139,1,0.8457561
42140,0,0.005151735
42141,0,0.20327736
42142,1,0.5104311
42143,1,0.8489178
42144,0,0.0709477
42145,1,0.78003347
42146,0,0.062014624
42147,1,0.8717358
42148,1,0.5723995
42149,0,0.4551355
42150,0,0.25281847
42151,1,0.7117086
42152,1,0.78874123
42153,0,0.12137574
42154,0,0.48205882
42155,0,0.4558143
42156,0,0.27198485
42157,0,0.030063488
42158,0,0.28215474
42159,1,0.7979665
42160,1,0.57687557
42161,0,1.593175e-06
42162,0,0.05589367
42163,0,0.038924288
42164,1,0.7558008
42165,0,0.4785855
42166,1,0.6915186
42167,0,5.0857825e-09
42168,1,0.6271593
42169,1,0.7549426
42170,0,0.023288082
42171,0,0.31933635
42172,0,0.22400261
42173,1,0.737307
42174,0,0.11194864
42175,0,0.36035803
42176,1,0.84622127
42177,0,0.2930065
42178,0,0.027036095
42179,1,0.8903051
42180,1,0.63493645
42181,1,0.6845491
42182,1,0.76608026
42183,0,0.36421993
42184,0,0.06157046
42185,0,0.15955201
42186,0,0.18572566
42187,0,0.3032601
42188,0,0.016190244
42189,0,0.20160715
42190,0,0.15087107
42191,0,0.19095533
42192,0,0.26126036
42193,0,0.21539192
42194,0,0.27753216
42195,1,0.916628
42196,1,0.80293167
42197,0,0.42818576
42198,1,0.68479365
42199,1,0.5927591
42200,1,0.59631425
42201,1,0.6060788
42202,0,0.37367594
42203,0,0.29459035
42204,1,0.7985082
42205,0,0.18688962
42206,0,0.0057286443
42207,1,0.69088167
42208,0,0.112685315
42209,0,0.24887164
42210,0,0.20375508
42211,0,0.24207096
42212,0,0.28004363
42213,1,0.8461819
42214,1,0.61584413
42215,0,0.36042246
42216,1,0.8227305
42217,0,0.15092368
42218,0,0.027016832
42219,0,0.1578019
42220,0,0.24943061
42221,1,0.7379789
42222,1,0.51753134
42223,0,0.18493876
42224,1,0.9222195
42225,1,0.6636788
42226,1,0.8522674
42227,0,0.052827895
42228,1,0.59766
42229,0,0.10890627
42230,0,0.28099853
42231,1,0.7654313
42232,1,0.7555688
42233,0,0.10473809
42234,0,0.4900648
42235,0,0.096431255
42236,0,0.04309101
42237,1,0.79452944
42238,0,0.36072826
42239,0,0.26751748
42240,1,0.9113716
42241,1,0.58786005
42242,0,0.121403836
42243,1,0.91255087
42244,0,0.15230942
42245,1,0.6206595
42246,1,0.9202737
42247,1,0.7787062
42248,1,0.54629934
42249,1,0.8502355
42250,1,0.55854857
42251,0,0.26854342
42252,1,0.7979173
42253,1,0.6101625
42254,0,0.09710208
42255,0,0.10496927
42256,1,0.7334267
42257,1,0.6508062
42258,0,0.3308114
42259,1,0.7658521
42260,1,0.73518115
42261,1,0.7283304
42262,1,0.8905421
42263,1,0.9356559
42264,0,0.12772548
42265,1,0.78994787
42266,0,0.020875439
42267,0,0.20932814
42268,1,0.6640201
42269,0,0.091294914
42270,1,0.8587661
42271,1,0.70324993
42272,0,0.08533242
42273,0,0.10793064
42274,1,0.72019094
42275,0,0.40883443
42276,0,0.11195056
42277,0,0.07405623
42278,0,0.09871804
42279,0,0.3949989
42280,0,0.38594103
42281,0,0.0054333094
42282,0,0.4394451
42283,0,0.1616256
42284,0,0.38944346
42285,0,0.03834872
42286,0,0.0165998
42287,1,0.686479
42288,0,0.38643083
42289,1,0.7953379
42290,0,0.023756713
42291,1,0.8438607
42292,0,0.14508519
42293,1,0.80408853
42294,1,0.966196
42295,0,0.18831356
42296,0,0.11902741
42297,0,0.26516366
42298,0,0.068058886
42299,1,0.80453205
42300,0,0.42705473
42301,0,0.28832367
42302,0,0.16007815
42303,0,0.24951835
42304,0,0.12150485
42305,0,0.29010865
42306,0,0.30199537
42307,0,0.055792022
42308,0,0.10879948
42309,0,0.28422225
42310,0,0.35188445
42311,1,0.7280498
42312,0,0.1449177
42313,1,0.78403723
42314,1,0.67347175
42315,0,0.17831214
42316,1,0.6881151
42317,0,0.30429435
42318,0,0.42915082
42319,0,0.01732728
42320,0,0.38794237
42321,0,0.36808583
42322,1,0.87662065
42323,0,0.029739099
42324,1,0.7305738
42325,0,0.057480454
42326,1,0.5721021
42327,0,0.043265805
42328,0,0.11411184
42329,0,0.25763187
42330,1,0.74422306
42331,0,0.40866655
42332,0,0.2783428
42333,1,0.6983576
42334,0,0.02140653
42335,1,0.7618449
42336,0,0.05944879
42337,1,0.6842958
42338,0,0.32014176
42339,0,0.0048799636
42340,0,0.086699724
42341,1,0.7060269
42342,1,0.86779773
42343,0,0.4334113
42344,0,0.30389494
42345,0,0.016038386
42346,1,0.93414795
42347,1,0.80170566
42348,1,0.8159339
42349,0,0.04605446
42350,0,0.2961626
42351,0,0.05471834
42352,1,0.64865327
42353,1,0.8253835
42354,0,0.11621239
42355,0,0.1957755
42356,1,0.53247905
42357,0,0.00025002746
42358,1,0.77975905
42359,0,0.07512425
42360,1,0.5825144
42361,0,0.121078126
42362,1,0.7737412
42363,0,0.1553487
42364,0,0.33529988
42365,0,0.25847566
42366,0,0.2892932
42367,1,0.7707863
42368,1,0.5782267
42369,1,0.8276926
42370,0,0.23505102
42371,0,0.040045902
42372,0,0.32750723
42373,1,0.9070972
42374,1,0.61665815
42375,0,0.4520262
42376,0,0.041838318
42377,1,0.9326189
42378,0,0.4719837
42379,0,0.17509058
42380,0,0.036893323
42381,1,0.62527376
42382,1,0.59802437
42383,1,0.9137536
42384,0,0.1961843
42385,0,0.007784263
42386,1,0.70580393
42387,1,0.6539143
42388,0,0.04147826
42389,0,0.008779637
42390,1,0.8050625
42391,0,0.08868704
42392,0,0.06277637
42393,0,0.1255295
42394,0,0.3149791
42395,0,0.49057963
42396,0,0.21802832
42397,1,0.9304655
42398,0,0.033203106
42399,1,0.7675501
42400,0,0.47287717
42401,0,0.18923478
42402,1,0.7515768
42403,1,0.66985744
42404,0,0.3405863
42405,0,0.2734876
42406,0,0.34212235
42407,0,0.110590555
42408,0,0.12547256
42409,0,0.35175535
42410,1,0.76850444
42411,0,1.0076727e-10
42412,1,0.9007649
42413,1,0.66391695
42414,1,0.7359419
42415,0,0.2987993
42416,1,0.6875528
42417,0,0.20554982
42418,0,0.3554357
42419,0,0.28851512
42420,0,0.08153213
42421,0,0.06309149
